,owner,brand,price,kms_driven,age,power
0,First Owner,TVS,35000.0,17654.0,3.0,110.0
1,First Owner,Royal Enfield,119900.0,11000.0,4.0,350.0
2,First Owner,Triumph,600000.0,110.0,8.0,675.0
3,First Owner,TVS,65000.0,16329.0,4.0,180.0
4,First Owner,Yamaha,80000.0,10000.0,3.0,150.0
5,First Owner,Yamaha,53499.0,25000.0,6.0,150.0
6,First Owner,Honda,85000.0,8200.0,3.0,160.0
7,First Owner,Hero,45000.0,12645.0,3.0,100.0
8,First Owner,Royal Enfield,145000.0,9190.0,3.0,350.0
9,Second Owner,Royal Enfield,88000.0,19000.0,7.0,500.0
10,First Owner,Yamaha,72000.0,20000.0,7.0,150.0
11,First Owner,Yamaha,95000.0,9665.0,4.0,250.0
12,First Owner,Bajaj,78000.0,9900.0,4.0,200.0
13,First Owner,Bajaj,29499.0,20000.0,8.0,100.0
14,First Owner,Bajaj,29900.0,20000.0,7.0,125.0
15,First Owner,Bajaj,90000.0,11574.0,3.0,200.0
16,First Owner,Bajaj,120000.0,23000.0,3.0,200.0
17,First Owner,Suzuki,48000.0,24725.0,5.0,150.0
18,Second Owner,Benelli,240000.0,15025.0,3.0,302.0
22,First Owner,Hero,46500.0,3500.0,2.0,110.0
23,First Owner,Royal Enfield,121700.0,24520.0,5.0,500.0
24,First Owner,Yamaha,45000.0,23000.0,6.0,150.0
26,First Owner,Hero,20000.0,29305.0,16.0,125.0
27,Second Owner,Honda,20800.0,30500.0,7.0,125.0
28,First Owner,Bajaj,50000.0,19000.0,8.0,150.0
29,First Owner,Honda,81200.0,9100.0,2.0,160.0
30,First Owner,Bajaj,88000.0,21914.0,3.0,200.0
31,Second Owner,Yamaha,80000.0,20000.0,4.0,150.0
32,First Owner,Bajaj,40900.0,15000.0,6.0,220.0
33,First Owner,KTM,180000.0,17700.0,4.0,390.0
34,First Owner,Honda,40000.0,30000.0,8.0,150.0
35,Second Owner,KTM,70000.0,100000.0,8.0,200.0
36,First Owner,Royal Enfield,98800.0,39000.0,5.0,350.0
37,First Owner,Honda,65000.0,43000.0,6.0,150.0
38,First Owner,Royal Enfield,190500.0,4550.0,2.0,500.0
39,First Owner,KTM,179000.0,3400.0,2.0,200.0
40,First Owner,Royal Enfield,70000.0,45000.0,8.0,350.0
41,First Owner,Bajaj,45000.0,36100.0,6.0,220.0
42,First Owner,Royal Enfield,78000.0,8500.0,13.0,350.0
43,First Owner,Bajaj,110000.0,2550.0,2.0,220.0
44,First Owner,Royal Enfield,85000.0,18000.0,6.0,350.0
45,First Owner,Bajaj,38000.0,35000.0,9.0,200.0
46,First Owner,Royal Enfield,55346.0,38000.0,10.0,350.0
47,First Owner,Mahindra,28000.0,45000.0,2.0,110.0
48,First Owner,Hero,37000.0,10800.0,8.0,150.0
49,First Owner,Suzuki,97000.0,4400.0,3.0,150.0
50,First Owner,Yamaha,40000.0,357000.0,8.0,150.0
51,First Owner,Royal Enfield,90000.0,15300.0,7.0,350.0
52,First Owner,TVS,60000.0,30000.0,5.0,160.0
53,Second Owner,Honda,21900.0,30000.0,7.0,125.0
54,First Owner,Bajaj,40000.0,64000.0,7.0,220.0
55,Second Owner,Benelli,475000.0,11500.0,3.0,600.0
56,First Owner,Honda,34500.0,17056.0,5.0,110.0
57,First Owner,Yamaha,25000.0,172082.0,9.0,150.0
58,First Owner,Suzuki,30200.0,45000.0,7.0,150.0
59,First Owner,Bajaj,65000.0,35000.0,5.0,220.0
60,First Owner,Bajaj,25000.0,38000.0,9.0,150.0
61,First Owner,Kawasaki,935000.0,2500.0,2.0,900.0
